X,Y,OBJECTID_1,OBJECTID,COD_SIG,MORADA,DESIGNACAO,ANO,ESTADO,TIPOLOGIA,ID_TIPO,GlobalID,Shape__Area,Shape__Length
-9.16521074548221,38.7178933762982,140,145,3504701001,"Rua do Quatro de Infantaria, Jardim Téofilo de Braga",Jardim Téofilo de Braga - Jardins de Campo de Ourique,0, , ,5,2e4d7788-7d15-4106-953c-8dc540723094,6363.27978515625,320.799375334768
-9.14666333551188,38.7544594081226,141,152,090130,Rua Eugénio de Castro,Jardim na Rua Eugénio de Castro,0, , ,5,588df93f-462c-4148-b3a5-93b5c4949c0b,2875.29345703125,408.446910473211
-9.153459785592,38.7568692899348,142,154,0901606001,"Campo Grande, Jardim do Campo Grande",Jardim do Campo Grande,2014,requalificado,Espaços Verdes Centrais,5,f088673f-3ee8-4da0-9d8d-403ff4016f38,182316.690917969,3638.69542211067
-9.13282990083935,38.7570470282406,143,156,420210,Rua Professor Veiga Beirão,Parque Urbano Quinta do Narigão,2013,novo,Espaços Verdes Urbanos,5,fdad1944-a0f0-4cf8-aea2-b9caa29d56be,129916.493164063,1806.89185570553
-9.1404894514273,38.705872052256,144,157,480030,Avenida da Ribeira das Naus,Jardim Ribeira das Naus,2014,novo,Espaços Verdes Urbanos,5,b764fffa-3912-4e13-8191-3828229574ec,73726.142578125,1461.0270126379
-9.17451901005909,38.7135246713314,145,158,350370,Rua da Quinta do Loureiro,Encostas do Casal Ventoso,0,novo, ,5,d33c0a66-aee4-4c18-ba05-1810373b3118,143335.021484375,6259.94882582629
-9.1049624241886,38.7454014961614,146,159,210460,"Rua Pedro de Azevedo(antiga Rua C e Impasse C1 do Bairro da Prodac), Viveiro Quinta das Flores",Viveiro Quinta das Flores,2013,novo,Espaços Verdes Urbanos,5,ba449d99-364c-419f-b5c0-8b8f3ba24143,47889.697265625,1663.17795036225
-9.17458739603423,38.7581097210937,147,161,184360,Avenida General Norton de Matos,Ponte Galp,0,novo, ,5,638396d0-2a08-42dc-a289-0bd9e7afa420,25057.4248046875,1194.53782838743
-9.12963471814142,38.7373105743813,148,146,030030,"Alameda Dom Afonso Henriques, Jardim sobre a Fonte Monumental",Jardim sobre a Fonte Monumental - Alameda Dom Afonso Henriques,0, , ,5,6f78dc57-c390-4198-89b3-40c1124f124a,9455.17333984375,600.334415080939
-9.13517711280584,38.7370020699287,149,147,4100202001,"Alameda Dom Afonso Henriques, Jardim da Alameda Dom Afonso Henriques",Jardim da Alameda Dom Afonso Henriques,0, , ,5,084e91d8-5e8c-4375-9b58-75896f2d9bbc,60274.05859375,1915.36441076995
-9.20452786878217,38.7484641776039,150,148,0808506001,"Alameda Padre Álvaro Proença, Parque Silva Porto",Parque Silva Porto / Mata de Benfica,0, , ,5,2c2bbca9-e66f-4c6f-ae13-4d81a0825814,67653.5063476563,1121.48480663681
-9.15508760776441,38.769727255197,151,149,1808104001,"Alameda das Linhas de Torres, 160 (Quinta das Conchas)",Parque Quinta das Conchas - Nave Central,0,novo, ,5,6ff0c76d-973f-4893-b3d2-c8ec5cb28400,409964.323242188,3883.22057413431
-9.16780781532089,38.7543403129923,152,150,091750,Rua Joaquim Rocha Cabral,Jardim da Quinta dos Barros,2012,novo, ,5,1966710a-7a00-4a2d-bd8d-99d746495733,4559.884765625,280.044823958091
-9.16646842276656,38.7152954889184,153,151,350020,Rua Saraiva de Carvalho,Largo da Igreja de Santo Condestável,0, , ,5,9d9b371d-b3cd-4384-acf8-bca00aee23b7,13577.806640625,866.54544936557
